Vaccination Date,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated 
12/14/20,487,487,1
12/15/20,"5,958","5,958",4
12/16/20,"18,986","18,984",8
12/17/20,"24,453","24,446",9
12/18/20,"38,345","38,335",12
12/19/20,"18,357","18,330",27
12/20/20,"10,118","10,109",11
12/21/20,"28,499","28,363",137
12/22/20,"27,455","26,781",675
12/23/20,"39,703","39,324",380
12/24/20,"17,505","17,419",87
12/25/20,"2,540","2,540",1
12/26/20,"12,312","12,285",28
12/27/20,"8,656","8,622",34
12/28/20,"51,662","51,513",151
12/29/20,"68,604","68,487",117
12/30/20,"87,602","86,101","1,503"
12/31/20,"51,076","50,858",221
1/1/21,"7,409","7,142",312
1/2/21,"26,763","26,288",477
1/3/21,"15,877","15,679",199
1/4/21,"69,022","63,011","6,019"
1/5/21,"80,311","70,025","10,291"
1/6/21,"99,849","78,149","21,705"
1/7/21,"107,562","80,741","26,824"
1/8/21,"113,663","77,853","35,818"
1/9/21,"52,888","39,452","13,439"
1/10/21,"20,136","15,638","4,502"
1/11/21,"84,562","61,425","23,141"
1/12/21,"99,630","81,509","18,127"
1/13/21,"99,309","82,182","17,132"
1/14/21,"94,823","88,323","6,501"
1/15/21,"92,771","85,326","7,457"
1/16/21,"60,038","56,618","3,421"
1/17/21,"13,919","12,000","1,919"
1/18/21,"47,902","31,430","16,476"
1/19/21,"80,479","55,713","24,769"
1/20/21,"107,480","77,117","30,372"
1/21/21,"102,559","80,735","21,830"
1/22/21,"106,515","81,942","24,576"
1/23/21,"62,264","46,856","15,410"
1/24/21,"26,939","19,551","7,389"
1/25/21,"103,817","55,154","48,664"
1/26/21,"131,517","76,934","54,584"
1/27/21,"151,008","87,426","63,582"
1/28/21,"146,356","93,190","53,168"
1/29/21,"137,740","93,341","44,401"
1/30/21,"69,394","48,928","20,469"
1/31/21,"26,045","13,578","12,470"
2/1/21,"116,936","58,664","58,394"
2/2/21,"145,948","81,063","64,908"
2/3/21,"167,868","96,180","71,699"
2/4/21,"190,633","119,978","70,658"
2/5/21,"195,657","115,772","79,893"
2/6/21,"119,297","74,077","45,223"
2/7/21,"30,501","20,003","10,503"
2/8/21,"102,301","47,308","55,016"
2/9/21,"147,309","75,914","71,410"
2/10/21,"175,944","92,026","83,946"
