Date,Case Count
03-04-2020,0
03-05-2020,0
03-06-2020,5
03-07-2020,5
03-08-2020,5
03-09-2020,12
03-10-2020,15
03-11-2020,18
03-12-2020,22
03-13-2020,22
03-14-2020,22
03-15-2020,56
03-16-2020,56
03-17-2020,63
03-18-2020,82
03-19-2020,108
03-20-2020,175
03-21-2020,235
03-22-2020,263
03-23-2020,287
03-24-2020,712
03-25-2020,975
03-26-2020,1394
03-27-2020,1731
03-28-2020,2048
03-29-2020,2552
03-30-2020,2874
03-31-2020,3266
04-01-2020,3996
04-02-2020,4665
04-03-2020,5324
04-04-2020,6112
04-05-2020,6793
04-06-2020,7273
04-07-2020,8261
04-08-2020,9353
04-09-2020,10230
04-10-2020,11671
04-11-2020,12561
04-12-2020,13484
04-13-2020,13906
04-14-2020,14624
04-15-2020,15492
04-16-2020,16455
04-17-2020,17371
04-18-2020,18260
04-19-2020,18923
04-20-2020,19458
04-21-2020,20196
04-22-2020,21069
04-23-2020,21944
04-24-2020,22806
04-25-2020,23773
04-26-2020,24631
04-27-2020,25297
04-28-2020,26171
04-29-2020,27054
04-30-2020,28087
05-01-2020,29229
05-02-2020,30522
05-03-2020,31548
05-04-2020,32332
05-05-2020,33369
05-06-2020,34422
05-07-2020,35390
05-08-2020,36609
05-09-2020,37860
05-10-2020,38869
05-11-2020,39869
05-12-2020,41048
05-13-2020,42403
05-14-2020,43851
05-15-2020,45198
05-16-2020,46999
05-17-2020,47784
05-18-2020,48693
05-19-2020,49912
05-20-2020,51323
05-21-2020,52268
05-22-2020,53449
05-23-2020,54509
05-24-2020,55348
05-25-2020,55971
05-26-2020,56560
05-27-2020,57921
05-28-2020,59776
05-29-2020,61006
05-30-2020,62338
05-31-2020,64287
06-01-2020,64880
06-02-2020,66568
06-03-2020,68271
06-04-2020,69920
06-05-2020,71613
06-06-2020,73553
06-07-2020,74978
06-08-2020,75616
06-09-2020,77253
06-10-2020,79757
06-11-2020,81583
06-12-2020,83680
06-13-2020,86011
06-14-2020,87854
06-15-2020,89108
06-16-2020,93206
06-17-2020,96335
06-18-2020,99851
06-19-2020,103305
06-20-2020,107735
06-21-2020,111601
06-22-2020,114881
06-23-2020,120370
06-24-2020,125921
06-25-2020,131917
06-26-2020,137624
06-27-2020,143366
06-28-2020,148723
06-29-2020,153011
06-30-2020,159986
07-01-2020,168062
07-02-2020,175977
07-03-2020,183532
07-04-2020,191790
07-05-2020,195239
07-06-2020,200557
07-07-2020,210585
07-08-2020,220564
07-09-2020,230346
07-10-2020,240111
07-11-2020,250462
07-12-2020,258658
07-13-2020,264313
