State,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Texas,02/15/20,3,3,12,3,1,-1
Texas,02/16/20,8,3,20,4,1,-1
Texas,02/17/20,6,2,21,2,-18,4
Texas,02/18/20,-1,-1,-4,3,1,0
Texas,02/19/20,-2,0,-12,0,3,1
Texas,02/20/20,-1,-2,-13,-1,1,1
Texas,02/21/20,2,0,-2,2,3,-1
Texas,02/22/20,3,1,13,3,4,-1
Texas,02/23/20,4,1,-11,3,1,0
Texas,02/24/20,2,1,1,2,3,0
Texas,02/25/20,6,2,12,3,3,-1
Texas,02/26/20,10,6,0,5,4,-1
Texas,02/27/20,11,6,25,7,2,-2
Texas,02/28/20,10,8,18,7,1,-2
Texas,02/29/20,10,8,33,9,3,-3
Texas,03/01/20,14,9,6,7,2,-2
Texas,03/02/20,8,7,8,4,4,-1
Texas,03/03/20,12,10,17,3,3,-2
Texas,03/04/20,6,5,-10,0,2,1
Texas,03/05/20,11,8,34,5,3,-2
Texas,03/06/20,6,7,21,6,3,-2
Texas,03/07/20,5,7,21,11,3,-2
Texas,03/08/20,9,4,11,6,0,-1
Texas,03/09/20,6,5,7,1,-9,2
Texas,03/10/20,10,6,39,3,-10,1
Texas,03/11/20,12,14,49,4,-9,1
Texas,03/12/20,11,26,48,1,-11,1
Texas,03/13/20,1,31,4,-5,-15,4
Texas,03/14/20,-8,14,-3,-2,-3,2
Texas,03/15/20,-9,7,-17,-7,-7,3
Texas,03/16/20,-4,17,-2,-13,-22,7
Texas,03/17/20,-12,15,2,-16,-26,10
Texas,03/18/20,-16,14,11,-19,-29,12
Texas,03/19/20,-22,12,10,-25,-32,13
Texas,03/20/20,-30,9,-33,-30,-34,17
Texas,03/21/20,-40,-3,-45,-32,-22,13
Texas,03/22/20,-41,-10,-41,-37,-29,11
Texas,03/23/20,-31,-4,-14,-34,-36,15
Texas,03/24/20,-30,-1,-3,-32,-40,17
Texas,03/25/20,-39,-13,-6,-37,-44,20
Texas,03/26/20,-38,-14,-2,-39,-45,20
Texas,03/27/20,-41,-15,-19,-42,-45,21
Texas,03/28/20,-47,-19,-35,-43,-32,15
Texas,03/29/20,-45,-23,-27,-47,-36,13
Texas,03/30/20,-41,-21,-39,-45,-46,20
Texas,03/31/20,-35,-13,-13,-39,-47,20
Texas,04/01/20,-33,-8,-6,-38,-47,20
Texas,04/02/20,-39,-14,-22,-43,-48,21
Texas,04/03/20,-41,-13,-44,-47,-48,23
Texas,04/04/20,-52,-23,-69,-52,-37,18
Texas,04/05/20,-48,-23,-47,-53,-39,14
Texas,04/06/20,-41,-19,-33,-46,-47,20
Texas,04/07/20,-38,-16,-17,-42,-49,21
Texas,04/08/20,-38,-15,-14,-42,-48,21
Texas,04/09/20,-39,-15,-21,-44,-50,21
Texas,04/10/20,-39,-13,-29,-48,-56,24
Texas,04/11/20,-45,-14,-54,-49,-38,16
Texas,04/12/20,-57,-38,-53,-53,-43,13
Texas,04/13/20,-38,-18,-29,-45,-47,20
Texas,04/14/20,-36,-17,-26,-42,-47,21
Texas,04/15/20,-29,-9,-13,-39,-46,20
Texas,04/16/20,-32,-12,-4,-41,-47,20
Texas,04/17/20,-37,-16,-33,-43,-46,22
Texas,04/18/20,-41,-17,-43,-42,-31,14
Texas,04/19/20,-42,-22,-44,-49,-36,13
Texas,04/20/20,-33,-16,-15,-42,-45,18
Texas,04/21/20,-32,-14,-9,-40,-47,19
Texas,04/22/20,-34,-13,-20,-41,-46,20
Texas,04/23/20,-31,-11,6,-39,-46,19
Texas,04/24/20,-33,-11,-10,-40,-45,20
Texas,04/25/20,-37,-11,-14,-37,-30,12
Texas,04/26/20,-35,-15,-15,-43,-34,10
Texas,04/27/20,-29,-13,-11,-40,-44,18
Texas,04/28/20,-30,-12,-14,-38,-46,13
Texas,04/29/20,-27,-7,-3,-37,-45,19
Texas,04/30/20,-25,-6,13,-35,-45,18
Texas,05/01/20,-26,-4,-1,-35,-43,17
Texas,05/02/20,-30,-5,-3,-32,-26,10
Texas,05/03/20,-28,-10,-9,-38,-28,9
Texas,05/04/20,-23,-8,-5,-36,-41,16
Texas,05/05/20,-21,-4,-2,-34,-42,17
Texas,05/06/20,-20,-2,15,-33,-41,16
Texas,05/07/20,-22,-3,16,-34,-42,16
Texas,05/08/20,-23,-2,-6,-33,-40,17
Texas,05/09/20,-23,7,-1,-28,-22,8
Texas,05/10/20,-22,4,-3,-32,-22,5
Texas,05/11/20,-21,-9,2,-34,-40,15
Texas,05/12/20,-22,-7,-11,-34,-41,17
Texas,05/13/20,-18,-2,10,-32,-39,16
Texas,05/14/20,-20,-4,15,-34,-40,16
Texas,05/15/20,-24,-6,-10,-35,-39,16
Texas,05/16/20,-29,-8,-30,-35,-24,11
Texas,05/17/20,-22,-6,-1,-34,-21,7
Texas,05/18/20,-17,-6,3,-34,-37,14
Texas,05/19/20,-15,-4,7,-32,-38,14
Texas,05/20/20,-14,-1,15,-30,-38,14
Texas,05/21/20,-14,-1,20,-29,-39,14
Texas,05/22/20,-17,0,10,-28,-38,13
Texas,05/23/20,-22,-1,10,-25,-18,6
Texas,05/24/20,-22,-8,-6,-35,-21,6
Texas,05/25/20,-22,-9,-5,-42,-69,22
Texas,05/26/20,-15,-3,4,-31,-37,14
Texas,05/27/20,-14,-3,9,-30,-36,14
Texas,05/28/20,-13,-2,18,-30,-37,14
Texas,05/29/20,-15,-1,13,-28,-35,13
Texas,05/30/20,-19,-2,15,-22,-10,5
Texas,05/31/20,-18,-7,-5,-29,-13,6
Texas,06/01/20,-12,-3,1,-30,-35,12
Texas,06/02/20,-11,-2,14,-28,-36,13
Texas,06/03/20,-9,3,15,-28,-35,12
Texas,06/04/20,-11,0,26,-27,-36,12
Texas,06/05/20,-14,0,12,-27,-35,12
Texas,06/06/20,-18,-1,15,-23,-13,5
Texas,06/07/20,-15,-4,4,-28,-15,5
Texas,06/08/20,-13,-5,4,-29,-35,12
Texas,06/09/20,-12,-3,10,-28,-36,12
Texas,06/10/20,-9,0,26,-26,-34,12
Texas,06/11/20,-10,-1,35,-26,-36,12
Texas,06/12/20,-13,0,20,-25,-35,11
Texas,06/13/20,-17,-1,23,-20,-11,4
Texas,06/14/20,-14,-4,11,-25,-13,4
Texas,06/15/20,-12,-4,13,-27,-35,11
Texas,06/16/20,-11,-2,21,-26,-36,12
Texas,06/17/20,-10,1,27,-25,-35,12
Texas,06/18/20,-11,-1,35,-25,-37,12
Texas,06/19/20,-14,0,17,-24,-37,10
Texas,06/20/20,-17,2,12,-22,-13,5
Texas,06/21/20,-19,-3,-7,-27,-13,4
Texas,06/22/20,-18,-10,-4,-29,-39,13
Texas,06/23/20,-15,-6,0,-28,-40,14
Texas,06/24/20,-13,-3,12,-27,-37,13
Texas,06/25/20,-15,-5,18,-28,-39,14
Texas,06/26/20,-20,-5,-1,-28,-38,14
Texas,06/27/20,-24,-6,3,-24,-15,7
Texas,06/28/20,-23,-11,-11,-29,-14,7
Texas,06/29/20,-17,-8,4,-28,-38,13
Texas,06/30/20,-13,-4,9,-28,-40,13
Texas,07/01/20,-11,1,14,-24,-39,13
Texas,07/02/20,-10,3,22,-23,-42,13
Texas,07/03/20,-15,7,13,-29,-56,17
Texas,07/04/20,-36,-6,0,-35,-30,9
Texas,07/05/20,-28,-17,-23,-32,-22,7
Texas,07/06/20,-17,-8,-6,-29,-43,14
Texas,07/07/20,-17,-6,3,-27,-42,15
Texas,07/08/20,-16,-4,12,-27,-40,14
Texas,07/09/20,-16,-5,19,-27,-41,14
Texas,07/10/20,-20,-6,2,-29,-40,14
Texas,07/11/20,-24,-6,-6,-25,-16,7
Texas,07/12/20,-22,-10,-15,-30,-18,7
Texas,07/13/20,-18,-8,-7,-30,-41,13
Texas,07/14/20,-16,-6,4,-29,-42,14
Texas,07/15/20,-15,-3,7,-28,-40,14
Texas,07/16/20,-16,-5,15,-28,-41,14
Texas,07/17/20,-20,-6,1,-28,-40,14
Texas,07/18/20,-23,-7,1,-25,-16,7
