Date,tests_taken,case_count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,vaccine_doses_administered
9/14/20,34926,3970,-17,-12,1,-27,-33,9,0
9/15/20,57352,5342,-15,-9,7,-27,-34,10,0
9/16/20,51106,6026,-15,-9,7,-26,-33,10,0
9/17/20,104858,4047,-16,-11,16,-26,-34,10,0
9/18/20,124061,3422,-16,-9,6,-24,-32,9,0
9/19/20,33404,3827,-16,-6,21,-19,-14,3,0
9/20/20,31019,2466,-17,-10,-6,-25,-16,4,0
9/21/20,54382,9853,-21,-15,-29,-31,-36,12,0
9/22/20,79339,17820,-22,-15,-28,-34,-39,15,0
9/23/20,123081,3392,-17,-10,-9,-29,-33,12,0
9/24/20,55937,4320,-16,-11,6,-26,-33,10,0
9/25/20,87921,4633,-16,-10,-3,-26,-31,9,0
9/26/20,25583,4886,-17,-7,10,-21,-12,3,0
9/27/20,177922,1694,-16,-10,-7,-24,-14,4,0
9/28/20,31042,4090,-18,-12,-9,-28,-32,10,0
9/29/20,40292,4062,-15,-10,1,-27,-32,10,0
9/30/20,49732,5683,-13,-6,2,-24,-32,9,0
10/1/20,101583,3534,-12,-6,11,-23,-31,8,0
10/2/20,120248,3503,-14,-6,-1,-23,-30,8,0
10/3/20,70063,7006,-15,-4,13,-18,-14,3,0
10/4/20,38017,2884,-14,-8,-3,-22,-16,3,0
10/5/20,72193,3409,-17,-9,-7,-25,-33,9,0
10/6/20,31329,4132,-16,-8,-1,-26,-33,9,0
10/7/20,45675,4121,-16,-7,2,-25,-31,9,0
10/8/20,45793,4238,-16,-8,9,-24,-32,9,0
10/9/20,96215,4036,-17,-8,-7,-24,-32,10,0
10/10/20,60536,4230,-17,-6,11,-19,-13,3,0
10/11/20,69847,2418,-16,-9,-5,-22,-15,4,0
10/12/20,98166,2648,-16,-10,0,-25,-38,10,0
10/13/20,70745,5130,-16,-9,6,-25,-33,9,0
10/14/20,49629,4826,-14,-7,6,-24,-30,9,0
10/15/20,116427,4726,-14,-7,10,-23,-31,9,0
10/16/20,67553,5870,-15,-8,-6,-23,-30,9,0
10/17/20,61392,4885,-16,-7,7,-18,-14,3,0
10/18/20,64450,3216,-15,-9,-6,-21,-16,4,0
10/19/20,67351,4748,-18,-12,-10,-25,-31,9,0
10/20/20,33868,5030,-16,-10,1,-25,-32,10,0
10/21/20,65474,5252,-15,-8,4,-24,-29,9,0
10/22/20,92893,6291,-15,-9,12,-24,-31,9,0
10/23/20,109162,6472,-17,-9,-15,-24,-30,9,0
10/24/20,59579,6499,-16,-7,1,-19,-13,3,0
10/25/20,53602,4304,-16,-10,-16,-23,-15,4,0
10/26/20,81909,4700,-20,-12,-29,-28,-31,10,0
10/27/20,58156,7292,-20,-12,-33,-30,-34,12,0
10/28/20,82079,5627,-17,-9,-29,-29,-31,12,0
10/29/20,96012,6826,-13,-7,-7,-25,-31,9,0
10/30/20,86233,6631,-13,-5,-6,-24,-29,8,0
10/31/20,82463,7145,-16,-1,3,-21,-12,2,0
